UID,Tag,day,mode,success,time,os,version,device1,device2,device_code1,device_code2,mac1,ip1,ip2,device_code3,mac2,wifi,geo_code,ip1_sub,ip2_sub
10000,1,30,c8741ce15ceac2a4,1,17:51:50,102,7.0.9,49dd36968dbfadda,OPPO R11,ecb58082e0e9b8e2,00fa2e4ba95605ef,,55dd8936655c86f6,,,a8dc52f65085212e,,wskx,e58e48fb9215116e,
10001,0,16,20a91b45ef8f8221,1,8:36:00,200,,,,,,,,fc7fc47d6c93f554,,,,,,3502c553ea2ac187
10002,0,8,b668e42707ee9c7b,0,18:09:57,102,7.0.5,630a1adff2a87007,MI MAX 2,1da225cb679a37eb,f18538156b8f9b57,a8dc52f65085212e,2147d925e7a8ba3c,,,,,,3591678eca3f7a23,
10003,0,23,c8741ce15ceac2a4,1,23:53:49,102,7.0.9,630a1adff2a87007,MI 5X,d0c285513b785609,a7e79e3c2c85c8c7,,c52efc665f0af581,,,04a2d6c090518faa,4ff1553b1c96360e,wm4v,fdb5e20f6a6f2cd7,
10004,0,26,acfaded7e04e7ba0,1,11:11:15,102,7.0.0,8399be6b80847240,,27efd832595503f6,b6457e2264266257,,0fe293bea342665a,,,1ab9dc3eae102aa6,,,f5009e2c6c13c80c,
10005,0,27,c8741ce15ceac2a4,1,16:44:31,102,7.0.9,a92470e4f878a3f4,M6 NOTE,2bd7dd548de5c1eb,a3f306f70f99d3c5,,907bb247d8ab8fdd,,,a8dc52f65085212e,,ws90,46649b2cd10a7d41,
10006,0,27,c8741ce15ceac2a4,1,21:02:12,102,7.0.9,dcc26c88f36170cc,SM-G955F,c50faf7eba139d67,483ddc3a31666b8f,,211d0e54f3da2e8d,,,b910ea1cd2e10a1d,6ec718bbccbaedd2,ws45,d7833f8214e8019f,
10007,0,8,c8741ce15ceac2a4,1,18:59:56,102,7.0.5,a92470e4f878a3f4,M3 MAX,39c97da95ebca34e,476e25c0b0bcfa97,,1c682213d73d8f41,,,a8dc52f65085212e,,ws2x,5ec2ddaaa2c6a044,
10008,0,19,479617cd802ed152,1,9:12:26,200,,,,,,,,fa3ae43e9f767109,,,,,,f9c9ec38dd0f9149
10009,0,16,c8741ce15ceac2a4,1,15:25:32,102,7.0.5,8f970961c66d9ec6,ZTE V0840,9778c2c441240765,e7a501e84cf8c9b9,,9549680e109c5d8c,,,a8dc52f65085212e,,ws82,cadff7d686628ff8,
10010,0,5,c8741ce15ceac2a4,1,11:38:45,102,7.0.5,09baf2f39bc3dc86,DIG-AL00,a4fb5d9da21710b3,8a08140e76b723f6,,c3c8e0295334c220,,,dd1b0f3d55b30b1d,,wkjm,6c0405d0884b9c11,
10011,0,13,c8741ce15ceac2a4,1,9:13:18,102,7.0.9,49dd36968dbfadda,OPPO R11,3fd9f025b811f79f,225ac00ef2cace23,,15f659ea515f0115,,,a8dc52f65085212e,0edb381e0970caf1,wwdj,8195468a23d2cc2e,
10012,0,10,c8741ce15ceac2a4,0,14:39:25,102,7.0.2,09baf2f39bc3dc86,RNE-AL00,5db26fba5a8b85d8,a7934b8636f6a6f0,,d7bffe47d07b5895,,,a8dc52f65085212e,dd7e478a78524d7b,wmxb,adbef2debfa3b7ad,
10013,0,1,c8741ce15ceac2a4,1,15:05:34,102,7.0.5,d2cf44cec09806cc,VIVO Y66,568e312219d9f325,91eee15e5931e20e,,e11ecfc408f09405,,,f880209561d479a5,0d83dd64e639b5da,wwew,23d44bdb4b6b98d3,
